iter	Logloss
0	0.6408290779
1	0.6011406157
2	0.5693623335
3	0.544042079
4	0.5257780969
5	0.5110294395
6	0.499432898
7	0.4896109587
8	0.4806579409
9	0.4732882497
10	0.4680325823
11	0.4639525858
12	0.4609596444
13	0.4572803914
14	0.4550428669
15	0.4533067742
16	0.4515434907
17	0.4498732572
18	0.4484615082
19	0.4473556516
20	0.4460998973
21	0.4451421936
22	0.4443170318
23	0.4434105928
24	0.4426269463
25	0.4418577931
26	0.4412753849
27	0.4406773166
28	0.4401409267
29	0.4397276553
30	0.4393831254
31	0.4388690365
32	0.4384316654
33	0.4380513135
34	0.4376336991
35	0.4372388472
36	0.4369314987
37	0.4366355872
38	0.4362838476
39	0.4359749127
40	0.4356804905
41	0.4353905126
42	0.4350751281
43	0.4348595523
44	0.4346449882
45	0.4343425055
46	0.4340823162
47	0.4338088979
48	0.433599186
49	0.4334067046
50	0.4331053276
51	0.4328586004
52	0.4325818395
53	0.4323524513
54	0.4320781174
55	0.4318880862
56	0.4316754958
57	0.4314737373
58	0.4313093171
59	0.4310590624
60	0.4308253727
61	0.4306629625
62	0.4304001261
63	0.4302545749
64	0.4300274346
65	0.4298554354
66	0.4296158515
67	0.4294462303
68	0.4293305381
69	0.4291288298
70	0.4289784333
71	0.428786885
72	0.4285005533
73	0.4282846733
74	0.4280648432
75	0.4278146209
76	0.4276637642
77	0.4274581457
78	0.4272721719
79	0.4270731845
80	0.4269473642
81	0.426722792
82	0.4265729795
83	0.4263627465
84	0.4261781623
85	0.4260282862
86	0.4258701086
87	0.4256936514
88	0.4255363717
89	0.4254015181
90	0.4251917755
91	0.4250583838
92	0.4248766639
93	0.4246566867
94	0.4244581863
95	0.4243110166
96	0.424094647
97	0.423855938
98	0.423742524
99	0.4235672151
100	0.4233166506
101	0.4231826397
102	0.4229984954
103	0.4227969094
104	0.422588407
105	0.4224732199
106	0.4222928191
107	0.4221248328
108	0.422025216
109	0.4218497565
110	0.4216620769
111	0.4215210864
112	0.4214055441
113	0.4212644207
114	0.4211395446
115	0.4209392309
116	0.4207643288
117	0.4205912852
118	0.4203693986
119	0.4202393599
120	0.4200654949
121	0.4198888007
122	0.4196725358
123	0.4195576123
124	0.4194091217
125	0.4192065889
126	0.4190657443
127	0.4189707239
128	0.4188339128
129	0.4186963244
130	0.4185019655
131	0.4183746903
132	0.4182676568
133	0.4180073049
134	0.4178648536
135	0.4176933543
136	0.417550516
137	0.4173644262
138	0.4171929183
139	0.4170665879
140	0.4168982252
141	0.4167255148
142	0.4165540047
143	0.416421488
144	0.4162864858
145	0.4161422316
146	0.4159972133
147	0.415813628
148	0.4156236961
149	0.4154654029
150	0.4153447511
151	0.4151774872
152	0.4150551042
153	0.4149506174
154	0.4148141066
155	0.414697474
156	0.4145520503
157	0.4144533852
158	0.4143260684
159	0.4141462762
160	0.4140061964
161	0.4138033836
162	0.4136827319
163	0.4135215846
164	0.4134404449
165	0.4133009861
166	0.4131947278
167	0.4130245711
168	0.4128514211
169	0.4126740158
170	0.4125799731
171	0.4124677324
172	0.4123642535
173	0.4122514153
174	0.412125625
175	0.4120023335
176	0.4118831837
177	0.4117543818
178	0.4116101884
179	0.411448367
180	0.4113216669
181	0.4112217515
182	0.4110434905
183	0.4109533115
184	0.4108310689
185	0.4107185247
186	0.410617998
187	0.4104008951
188	0.4102325095
189	0.4100836512
190	0.4099214639
191	0.4097093306
192	0.4095786579
193	0.4094389039
194	0.4092956812
195	0.4091351957
196	0.4089722787
197	0.4088682233
198	0.4087675267
199	0.4086035694
200	0.4084283332
201	0.4083016969
202	0.4081382416
203	0.408011067
204	0.4078697307
205	0.4077185165
206	0.4076381722
207	0.4075294982
208	0.4073574355
209	0.4072003139
210	0.407046444
211	0.406885527
212	0.4067948761
213	0.4066632131
214	0.4065558681
215	0.4063980031
216	0.406286195
217	0.4061734932
218	0.4060823157
219	0.4059543587
220	0.405751236
221	0.4056165001
222	0.4054774574
223	0.4053827259
224	0.4052450244
225	0.4051138228
226	0.4049606758
227	0.404806457
228	0.4047506572
229	0.4045641881
230	0.4044551734
231	0.4043369134
232	0.4041314575
233	0.4040136329
234	0.4039070786
235	0.4037667503
236	0.403653878
237	0.403504919
238	0.4034203109
239	0.4032534605
240	0.4031276237
241	0.4029735117
242	0.4028450732
243	0.4027183047
244	0.4025970923
245	0.4024720295
246	0.4023345499
247	0.4021798686
248	0.4020684082
249	0.4019392418
250	0.4018246979
251	0.4017135236
252	0.4015858375
253	0.4014171682
254	0.4013127348
255	0.4012538201
256	0.4011574577
257	0.4010218111
258	0.4009478814
259	0.4008270947
260	0.4006620576
261	0.4005532941
262	0.4004348747
263	0.4002941832
264	0.4001646073
265	0.40004466
266	0.3999163109
267	0.3998135287
268	0.3996928004
269	0.399593142
270	0.3994859015
271	0.3993619263
272	0.3992356433
273	0.3990874157
274	0.3989829364
275	0.3988339883
276	0.3987127253
277	0.3985879816
278	0.3984030026
279	0.3983327626
280	0.3982632518
281	0.3981778368
282	0.3980559536
283	0.3979199247
284	0.3978714934
285	0.3978037252
286	0.3976989806
287	0.3976082477
288	0.3975159134
289	0.3974044781
290	0.397281444
291	0.3971961558
292	0.3971190387
293	0.3969483898
294	0.3968779845
295	0.3967560157
296	0.3966033156
297	0.3965208723
298	0.39638713
299	0.3962199254
